Bell No,Actual Time,Contest Model,HawkEar Model,RWP Model,Metronomic Model
1,5210,5210,5210,5441.04,5210
2,5470,5420.43,5420.43,5638.34,5401.11
3,5740,5630.87,5630.87,5835.64,5592.21
4,5960,5841.3,5841.3,6032.94,5783.32
5,6230,6051.74,6051.74,6230.24,5974.42
6,6450,6262.17,6262.17,6427.54,6165.53
7,6650,6472.61,6472.61,6624.84,6356.63
8,6820,6683.04,6683.04,6822.14,6547.74
9,7030,6893.48,6893.48,7019.45,6738.84
10,7200,7103.91,7103.91,7216.75,6929.95
11,7380,7314.35,7314.35,7414.05,7121.06
12,7670,7524.78,7524.78,7611.35,7312.16
1,7810,7735.22,7735.22,7808.65,7503.27
2,8070,7945.65,7945.65,8005.95,7694.37
3,8260,8156.09,8156.09,8203.25,7885.48
4,8460,8366.52,8366.52,8400.55,8076.58
5,8670,8576.96,8576.96,8597.86,8267.69
6,8830,8787.39,8787.39,8795.16,8458.79
7,9000,8997.83,8997.83,8992.46,8649.9
8,9240,9208.26,9208.26,9189.76,8841
9,9430,9418.7,9418.7,9387.06,9032.11
10,9590,9629.13,9629.13,9584.36,9223.22
11,9820,9839.57,9839.57,9781.66,9414.32
12,10050,10050,10050,9978.96,9605.43
1,10490,10488,10481.9,10416,9987.64
2,10700,10678.9,10673.3,10613.3,10178.7
3,10900,10869.8,10864.6,10810.6,10369.8
4,11080,11060.8,11055.9,11007.9,10561
5,11280,11251.7,11247.3,11205.2,10752.1
6,11500,11442.7,11438.6,11402.5,10943.2
7,11620,11633.6,11629.9,11599.8,11134.3
8,11800,11824.6,11821.2,11797.1,11325.4
9,11930,12015.5,12012.6,11994.4,11516.5
10,12100,12206.5,12203.9,12191.7,11707.6
11,12340,12397.4,12395.2,12389,11898.7
12,12550,12588.3,12586.6,12586.3,12089.8
1,12830,12779.3,12777.9,12783.7,12280.9
2,13010,12970.2,12969.2,12981,12472
3,13200,13161.2,13160.5,13178.3,12663.1
4,13420,13352.1,13351.9,13375.6,12854.2
5,13590,13543.1,13543.2,13572.9,13045.3
6,13770,13734,13734.5,13770.2,13236.4
7,13950,13925,13925.8,13967.5,13427.5
8,14100,14115.9,14117.2,14164.8,13618.6
9,14270,14306.8,14308.5,14362.1,13809.7
10,14450,14497.8,14499.8,14559.4,14000.9
11,14660,14688.7,14691.2,14756.7,14192
12,14900,14879.7,14882.5,14954,14383.1
1,15300,15308.5,15287,15278.6,14765.3
2,15500,15498.8,15478.7,15471.5,14956.4
3,15670,15689.1,15670.4,15664.4,15147.5
4,15910,15879.5,15862.1,15857.2,15338.6
5,16060,16069.8,16053.7,16050.1,15529.7
6,16290,16260.1,16245.4,16243,15720.8
7,16470,16450.4,16437.1,16435.9,15911.9
8,16650,16640.7,16628.8,16628.7,16103
9,16800,16831,16820.5,16821.6,16294.1
10,17010,17021.3,17012.2,17014.5,16485.2
11,17180,17211.7,17203.9,17207.4,16676.3
12,17380,17402,17395.6,17400.2,16867.4
1,17600,17592.3,17587.3,17593.1,17058.5
2,17780,17782.6,17778.9,17786,17249.6
3,18000,17972.9,17970.6,17978.9,17440.8
4,18190,18163.2,18162.3,18171.7,17631.9
5,18330,18353.6,18354,18364.6,17823
6,18510,18543.9,18545.7,18557.5,18014.1
7,18740,18734.2,18737.4,18750.4,18205.2
8,18930,18924.5,18929.1,18943.2,18396.3
9,19110,19114.8,19120.8,19136.1,18587.4
10,19300,19305.1,19312.5,19329,18778.5
11,19490,19495.4,19504.1,19521.8,18969.6
12,19720,19685.8,19695.8,19714.7,19160.7
1,20070,20082.3,20076.3,20051,19542.9
2,20270,20271.2,20265.5,20242.4,19734
3,20490,20460.1,20454.8,20433.8,19925.1
4,20650,20649,20644.1,20625.2,20116.2
5,20810,20837.8,20833.3,20816.6,20307.3
6,21010,21026.7,21022.6,21008,20498.4
7,21210,21215.6,21211.8,21199.4,20689.5
8,21390,21404.5,21401.1,21390.8,20880.7
9,21570,21593.3,21590.4,21582.2,21071.8
10,21760,21782.2,21779.6,21773.6,21262.9
11,21970,21971.1,21968.9,21965,21454
12,22170,22159.9,22158.1,22156.4,21645.1
1,22360,22348.8,22347.4,22347.8,21836.2
2,22540,22537.7,22536.7,22539.2,22027.3
3,22740,22726.6,22725.9,22730.6,22218.4
4,22960,22915.4,22915.2,22922,22409.5
5,23100,23104.3,23104.5,23113.4,22600.6
6,23270,23293.2,23293.7,23304.8,22791.7
7,23440,23482.1,23483,23496.2,22982.8
8,23620,23670.9,23672.2,23687.6,23173.9
9,23880,23859.8,23861.5,23878.9,23365
10,24060,24048.7,24050.8,24070.3,23556.1
11,24220,24237.5,24240,24261.7,23747.2
12,24490,24426.4,24429.3,24453.1,23938.3
1,24840,24827.9,24810.5,24794.2,24320.6
2,25030,25015.9,24999.8,24985.2,24511.7
3,25190,25203.9,25189.1,25176.1,24702.8
4,25420,25392,25378.4,25367.1,24893.9
5,25620,25580,25567.7,25558.1,25085
6,25790,25768.1,25757,25749.1,25276.1
7,25950,25956.1,25946.2,25940,25467.2
8,26120,26144.1,26135.5,26131,25658.3
9,26300,26332.2,26324.8,26322,25849.4
10,26480,26520.2,26514.1,26513,26040.5
11,26650,26708.2,26703.4,26704,26231.6
12,26910,26896.3,26892.7,26894.9,26422.7
1,27110,27084.3,27082,27085.9,26613.8
2,27280,27272.4,27271.3,27276.9,26804.9
3,27480,27460.4,27460.5,27467.9,26996
4,27660,27648.4,27649.8,27658.8,27187.1
5,27860,27836.5,27839.1,27849.8,27378.2
6,28000,28024.5,28028.4,28040.8,27569.3
7,28200,28212.5,28217.7,28231.8,27760.5
8,28370,28400.6,28407,28422.7,27951.6
9,28590,28588.6,28596.3,28613.7,28142.7
10,28750,28776.7,28785.6,28804.7,28333.8
11,28960,28964.7,28974.8,28995.7,28524.9
12,29210,29152.7,29164.1,29186.6,28716
1,29590,29564.3,29544.9,29531.8,29098.2
2,29810,29752,29734.2,29722.5,29289.3
3,29990,29939.6,29923.4,29913.2,29480.4
4,30150,30127.2,30112.7,30103.9,29671.5
5,30340,30314.8,30302,30294.6,29862.6
6,30490,30502.5,30491.2,30485.3,30053.7
7,30680,30690.1,30680.5,30676.1,30244.8
8,30860,30877.7,30869.7,30866.8,30435.9
9,31050,31065.4,31059,31057.5,30627
10,31210,31253,31248.3,31248.2,30818.1
11,31410,31440.6,31437.5,31438.9,31009.2
12,31600,31628.3,31626.8,31629.6,31200.3
1,31800,31815.9,31816.1,31820.4,31391.5
2,32000,32003.5,32005.3,32011.1,31582.6
3,32220,32191.2,32194.6,32201.8,31773.7
4,32400,32378.8,32383.8,32392.5,31964.8
5,32590,32566.4,32573.1,32583.2,32155.9
6,32750,32754.1,32762.4,32773.9,32347
7,32920,32941.7,32951.6,32964.7,32538.1
8,33090,33129.3,33140.9,33155.4,32729.2
9,33350,33317,33330.2,33346.1,32920.3
10,33500,33504.6,33519.4,33536.8,33111.4
11,33710,33692.2,33708.7,33727.5,33302.5
12,33890,33879.8,33898,33918.2,33493.6
1,34300,34290.9,34274.8,34263.9,33875.8
2,34460,34478.5,34463.9,34454.1,34066.9
3,34690,34666.1,34653.1,34644.2,34258
4,34870,34853.7,34842.2,34834.3,34449.1
5,35070,35041.4,35031.4,35024.5,34640.2
6,35290,35229,35220.5,35214.6,34831.4
7,35420,35416.6,35409.7,35404.7,35022.5
8,35600,35604.3,35598.8,35594.8,35213.6
9,35760,35791.9,35787.9,35785,35404.7
10,35950,35979.5,35977.1,35975.1,35595.8
11,36130,36167.1,36166.2,36165.2,35786.9
12,36370,36354.8,36355.4,36355.4,35978
1,36560,36542.4,36544.5,36545.5,36169.1
2,36740,36730,36733.7,36735.6,36360.2
3,36940,36917.6,36922.8,36925.7,36551.3
4,37120,37105.3,37112,37115.9,36742.4
5,37250,37292.9,37301.1,37306,36933.5
6,37480,37480.5,37490.3,37496.1,37124.6
7,37620,37668.2,37679.4,37686.2,37315.7
8,37830,37855.8,37868.5,37876.4,37506.8
9,38050,38043.4,38057.7,38066.5,37697.9
10,38240,38231,38246.8,38256.6,37889
11,38420,38418.7,38436,38446.8,38080.1
12,38650,38606.3,38625.1,38636.9,38271.3
1,39030,39004.7,38991.9,38975.7,38653.5
2,39230,39192,39180.7,39165.3,38844.6
3,39390,39379.2,39369.5,39354.9,39035.7
4,39550,39566.5,39558.3,39544.5,39226.8
5,39700,39753.7,39747.1,39734,39417.9
6,39930,39941,39935.9,39923.6,39609
7,40090,40128.2,40124.7,40113.2,39800.1
8,40300,40315.5,40313.5,40302.8,39991.2
9,40480,40502.7,40502.2,40492.3,40182.3
10,40680,40690,40691,40681.9,40373.4
11,40830,40877.2,40879.8,40871.5,40564.5
12,41090,41064.5,41068.6,41061,40755.6
1,41240,41251.7,41257.4,41250.6,40946.7
2,41450,41439,41446.2,41440.2,41137.8
3,41650,41626.2,41635,41629.8,41328.9
4,41870,41813.5,41823.7,41819.3,41520
5,42000,42000.7,42012.5,42008.9,41711.2
6,42170,42188,42201.3,42198.5,41902.3
7,42350,42375.2,42390.1,42388.1,42093.4
8,42540,42562.5,42578.9,42577.6,42284.5
9,42770,42749.7,42767.7,42767.2,42475.6
10,42940,42937,42956.5,42956.8,42666.7
11,43100,43124.3,43145.3,43146.4,42857.8
12,43360,43311.5,43334,43335.9,43048.9
1,43710,43713.7,43696.8,43679.2,43431.1
2,43900,43899.8,43885.1,43868.3,43622.2
3,44090,44085.9,44073.4,44057.4,43813.3
4,44320,44272.1,44261.7,44246.4,44004.4
5,44460,44458.2,44450,44435.5,44195.5
6,44700,44644.3,44638.3,44624.6,44386.6
7,44850,44830.4,44826.5,44813.7,44577.7
8,45000,45016.5,45014.8,45002.8,44768.8
9,45180,45202.6,45203.1,45191.9,44959.9
10,45320,45388.8,45391.4,45381,45151.1
11,45530,45574.9,45579.7,45570.1,45342.2
12,45760,45761,45768,45759.2,45533.3
1,45910,45947.1,45956.3,45948.3,45724.4
2,46120,46133.2,46144.6,46137.4,45915.5
3,46330,46319.3,46332.8,46326.5,46106.6
4,46520,46505.5,46521.1,46515.6,46297.7
5,46740,46691.6,46709.4,46704.7,46488.8
6,46880,46877.7,46897.7,46893.8,46679.9
7,47060,47063.8,47086,47082.9,46871
8,47240,47249.9,47274.3,47272,47062.1
9,47460,47436,47462.6,47461.1,47253.2
10,47600,47622.2,47650.9,47650.1,47444.3
11,47770,47808.3,47839.1,47839.2,47635.4
12,48040,47994.4,48027.4,48028.3,47826.5
1,48410,48397.2,48386.9,48365.4,48208.7
2,48600,48583.2,48574.6,48554.1,48399.8
3,48790,48769.2,48762.4,48742.8,48591
4,48970,48955.2,48950.1,48931.5,48782.1
5,49120,49141.1,49137.9,49120.2,48973.2
6,49330,49327.1,49325.6,49308.9,49164.3
7,49500,49513.1,49513.4,49497.6,49355.4
8,49690,49699.1,49701.1,49686.3,49546.5
9,49870,49885,49888.9,49875,49737.6
10,50020,50071,50076.6,50063.7,49928.7
11,50210,50257,50264.4,50252.4,50119.8
12,50450,50443,50452.1,50441.1,50310.9
1,50630,50629,50639.9,50629.8,50502
2,50810,50814.9,50827.6,50818.5,50693.1
3,51040,51000.9,51015.3,51007.2,50884.2
4,51200,51186.9,51203.1,51195.9,51075.3
5,51400,51372.9,51390.8,51384.6,51266.4
6,51550,51558.8,51578.6,51573.3,51457.5
7,51740,51744.8,51766.3,51762,51648.6
8,51930,51930.8,51954.1,51950.7,51839.7
9,52120,52116.8,52141.8,52139.4,52030.9
10,52300,52302.7,52329.6,52328.1,52222
11,52460,52488.7,52517.3,52516.8,52413.1
12,52710,52674.7,52705.1,52705.5,52604.2
1,53080,53078.1,53067.4,53044.5,52986.4
2,53270,53263.8,53254.7,53233.1,53177.5
3,53470,53449.6,53442.1,53421.7,53368.6
4,53660,53635.3,53629.4,53610.4,53559.7
5,53830,53821,53816.7,53799,53750.8
6,54030,54006.7,54004,53987.6,53941.9
7,54200,54192.5,54191.3,54176.3,54133
8,54370,54378.2,54378.7,54364.9,54324.1
9,54530,54563.9,54566,54553.5,54515.2
10,54700,54749.6,54753.3,54742.2,54706.3
11,54900,54935.4,54940.6,54930.8,54897.4
12,55130,55121.1,55127.9,55119.4,55088.5
1,55290,55306.8,55315.3,55308.1,55279.6
2,55480,55492.6,55502.6,55496.7,55470.8
3,55700,55678.3,55689.9,55685.3,55661.9
4,55890,55864,55877.2,55874,55853
5,56050,56049.7,56064.5,56062.6,56044.1
6,56210,56235.5,56251.9,56251.2,56235.2
7,56400,56421.2,56439.2,56439.9,56426.3
8,56600,56606.9,56626.5,56628.5,56617.4
9,56800,56792.6,56813.8,56817.1,56808.5
10,56970,56978.4,57001.1,57005.8,56999.6
11,57160,57164.1,57188.5,57194.4,57190.7
12,57410,57349.8,57375.8,57383,57381.8
1,57760,57751,57744.1,57724.8,57764
2,57940,57937.3,57931.3,57913.3,57955.1
3,58150,58123.6,58118.4,58101.8,58146.2
4,58340,58309.9,58305.5,58290.2,58337.3
5,58490,58496.2,58492.7,58478.7,58528.4
6,58680,58682.4,58679.8,58667.1,58719.5
