Bell No,Actual Time,Contest Model,HawkEar Model,RWP Model,Metronomic Model
1,2500,2500,2500,2726.49,2500
2,2730,2710,2710,2922.38,2689.36
3,3020,2920,2920,3118.26,2878.73
4,3240,3130,3130,3314.15,3068.09
5,3500,3340,3340,3510.03,3257.46
6,3720,3550,3550,3705.92,3446.82
7,3930,3760,3760,3901.8,3636.19
8,4130,3970,3970,4097.69,3825.55
9,4310,4180,4180,4293.57,4014.91
10,4510,4390,4390,4489.46,4204.28
11,4660,4600,4600,4685.34,4393.64
12,4870,4810,4810,4881.22,4583.01
1,5170,5020,5020,5077.11,4772.37
2,5360,5230,5230,5272.99,4961.74
3,5600,5440,5440,5468.88,5151.1
4,5770,5650,5650,5664.76,5340.47
5,5780,5860,5860,5860.65,5529.83
6,6130,6070,6070,6056.53,5719.19
7,6230,6280,6280,6252.42,5908.56
8,6410,6490,6490,6448.3,6097.92
9,6670,6700,6700,6644.19,6287.29
10,6860,6910,6910,6840.07,6476.65
11,7070,7120,7120,7035.95,6666.02
12,7330,7330,7330,7231.84,6855.38
1,7710,7730.55,7736.93,7687.74,7234.11
2,7900,7922.83,7928.8,7883.63,7423.47
3,8150,8115.1,8120.67,8079.51,7612.84
4,8330,8307.38,8312.54,8275.4,7802.2
5,8490,8499.66,8504.42,8471.28,7991.57
6,8700,8691.94,8696.29,8667.17,8180.93
7,8890,8884.22,8888.16,8863.05,8370.3
8,9120,9076.5,9080.03,9058.94,8559.66
9,9200,9268.77,9271.9,9254.82,8749.02
10,9420,9461.05,9463.77,9450.71,8938.39
11,9620,9653.33,9655.64,9646.59,9127.75
12,9810,9845.61,9847.51,9842.47,9317.12
1,10040,10037.9,10039.4,10038.4,9506.48
2,10260,10230.2,10231.3,10234.2,9695.85
3,10450,10422.4,10423.1,10430.1,9885.21
4,10620,10614.7,10615,10626,10074.6
5,10840,10807,10806.9,10821.9,10263.9
6,11010,10999.3,10998.7,11017.8,10453.3
7,11210,11191.6,11190.6,11213.7,10642.7
8,11360,11383.8,11382.5,11409.6,10832
9,11570,11576.1,11574.3,11605.4,11021.4
10,11740,11768.4,11766.2,11801.3,11210.8
11,11950,11960.7,11958.1,11997.2,11400.1
12,12180,12153,12150,12193.1,11589.5
1,12540,12546.2,12538.8,12532.8,11968.2
2,12720,12737.5,12730.6,12725.2,12157.6
3,12910,12928.8,12922.4,12917.6,12346.9
4,13120,13120.2,13114.2,13110.1,12536.3
5,13310,13311.5,13306,13302.5,12725.7
6,13550,13502.9,13497.8,13495,12915
7,13730,13694.2,13689.6,13687.4,13104.4
8,13890,13885.6,13881.5,13879.8,13293.8
9,14040,14076.9,14073.3,14072.3,13483.1
10,14250,14268.2,14265.1,14264.7,13672.5
11,14420,14459.6,14456.9,14457.2,13861.9
12,14640,14650.9,14648.7,14649.6,14051.2
1,14840,14842.3,14840.5,14842.1,14240.6
2,15030,15033.6,15032.3,15034.5,14430
3,15280,15224.9,15224.2,15226.9,14619.3
