Bell No,Actual Time,Contest Model,HawkEar Model,RWP Model,Metronomic Model
1,3050,3050,3050,3216.01,3050
2,3290,3258.7,3258.7,3412.8,3237.94
3,3520,3467.39,3467.39,3609.6,3425.88
4,3740,3676.09,3676.09,3806.4,3613.82
5,4020,3884.78,3884.78,4003.19,3801.76
6,4190,4093.48,4093.48,4199.99,3989.7
7,4420,4302.17,4302.17,4396.79,4177.63
8,4560,4510.87,4510.87,4593.58,4365.57
9,4730,4719.57,4719.57,4790.38,4553.51
10,4950,4928.26,4928.26,4987.18,4741.45
11,5190,5136.96,5136.96,5183.97,4929.39
12,5460,5345.65,5345.65,5380.77,5117.33
1,5570,5554.35,5554.35,5577.56,5305.27
2,5800,5763.04,5763.04,5774.36,5493.21
3,6050,5971.74,5971.74,5971.16,5681.15
4,6220,6180.43,6180.43,6167.95,5869.09
5,6430,6389.13,6389.13,6364.75,6057.02
6,6650,6597.83,6597.83,6561.55,6244.96
7,6810,6806.52,6806.52,6758.34,6432.9
8,6960,7015.22,7015.22,6955.14,6620.84
9,7130,7223.91,7223.91,7151.94,6808.78
10,7380,7432.61,7432.61,7348.73,6996.72
11,7530,7641.3,7641.3,7545.53,7184.66
12,7850,7850,7850,7742.33,7372.6
1,8230,8244.94,8252.35,8183.51,7748.48
2,8470,8436.53,8443.47,8380.3,7936.41
3,8600,8628.12,8634.58,8577.1,8124.35
4,8810,8819.71,8825.7,8773.9,8312.29
5,9010,9011.3,9016.81,8970.69,8500.23
6,9220,9202.88,9207.93,9167.49,8688.17
7,9390,9394.47,9399.04,9364.29,8876.11
8,9580,9586.06,9590.16,9561.08,9064.05
9,9720,9777.65,9781.27,9757.88,9251.99
10,9960,9969.24,9972.39,9954.68,9439.93
11,10120,10160.8,10163.5,10151.5,9627.87
12,10300,10352.4,10354.6,10348.3,9815.8
1,10600,10544,10545.7,10545.1,10003.7
2,10790,10735.6,10736.8,10741.9,10191.7
3,10940,10927.2,10928,10938.7,10379.6
4,11150,11118.8,11119.1,11135.5,10567.6
5,11340,11310.4,11310.2,11332.3,10755.5
6,11520,11501.9,11501.3,11529,10943.4
7,11690,11693.5,11692.4,11725.8,11131.4
8,11880,11885.1,11883.5,11922.6,11319.3
